N° Edição|Ano|Data|Município|Entidade|Categoria|Documento|Arquivo|URL|Identificador
5230|2.025|02/01/2025|Antônio Almeida|Prefeitura|Licitacao|Licitacao TP 008-23 Contrato 004-23 Aditivo 02|DM_5230_030_Antonio_Almeida_Licitacao_TP_008-23_Contrato_004-23_Aditivo_02_pag_519.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo/5230/DM_5230_030_Antonio_Almeida_Licitacao_TP_008-23_Contrato_004-23_Aditivo_02_pag_519.pdf|15190380D0777AA6
5234|2.025|08/01/2025|Antônio Almeida|Prefeitura|Decreto|Decreto 019-24 Programacao Financeira|DM_5234_023_Antonio_Almeida_Decreto_019-24_Programacao_Financeira_pag_7.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo/5234/DM_5234_023_Antonio_Almeida_Decreto_019-24_Programacao_Financeira_pag_7.pdf|0B621DC1F47B2665
5234|2.025|08/01/2025|Antônio Almeida|Prefeitura|Portaria|Portaria 001-25|DM_5234_024_Antonio_Almeida_Portaria_001-25_pag_16.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo/5234/DM_5234_024_Antonio_Almeida_Portaria_001-25_pag_16.pdf|0047F1FF082B31C0
5234|2.025|08/01/2025|Antônio Almeida|Prefeitura|Portaria|Portaria 002-25|DM_5234_025_Antonio_Almeida_Portaria_002-25_pag_16.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo/5234/DM_5234_025_Antonio_Almeida_Portaria_002-25_pag_16.pdf|10EF33A36AA331C5
5234|2.025|08/01/2025|Antônio Almeida|Prefeitura|Portaria|Portaria 003-25|DM_5234_026_Antonio_Almeida_Portaria_003-25_pag_16.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo/5234/DM_5234_026_Antonio_Almeida_Portaria_003-25_pag_16.pdf|01AB377765B531C7
5234|2.025|08/01/2025|Antônio Almeida|Prefeitura|Portaria|Portaria 004-25|DM_5234_027_Antonio_Almeida_Portaria_004-25_pag_16.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo/5234/DM_5234_027_Antonio_Almeida_Portaria_004-25_pag_16.pdf|1519040C834131CA
5234|2.025|08/01/2025|Antônio Almeida|Prefeitura|Portaria|Portaria 005-25|DM_5234_028_Antonio_Almeida_Portaria_005-25_pag_17.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo/5234/DM_5234_028_Antonio_Almeida_Portaria_005-25_pag_17.pdf|0047F1FF082B31D0
5234|2.025|08/01/2025|Antônio Almeida|Prefeitura|Portaria|Portaria 006-25|DM_5234_029_Antonio_Almeida_Portaria_006-25_pag_17.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo/5234/DM_5234_029_Antonio_Almeida_Portaria_006-25_pag_17.pdf|167C4984E0CB31D1
5234|2.025|08/01/2025|Antônio Almeida|Prefeitura|Portaria|Portaria 007-25|DM_5234_030_Antonio_Almeida_Portaria_007-25_pag_17.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo/5234/DM_5234_030_Antonio_Almeida_Portaria_007-25_pag_17.pdf|13B5BE9425B731D3
5234|2.025|08/01/2025|Antônio Almeida|Prefeitura|Portaria|Portaria 008-25|DM_5234_031_Antonio_Almeida_Portaria_008-25_pag_17.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo/5234/DM_5234_031_Antonio_Almeida_Portaria_008-25_pag_17.pdf|0CC5633A520531E8
